,Stock,Stock code,Industry,Trendlyne Durability Score,Trendlyne Valuation Score,MCAP Cr,Total Revenue Qtr cr,Net profit TTM Cr,Net Cash Flow Annual Cr,Long Term Debt To Equity Annual,Price to Book,Industry Price to Book TTM,3Yr price change %,5Yr price change %,10Yr price change %,EPS Qtr YoY Growth %,Operating Profit Annual YoY Growth %,Operating Profit Qtr Margin Growth YoY %,Net Profit Annual YoY Growth %,Net Profit Qtr Growth YoY %,Net Profit QoQ Growth %,Revenue Growth Annual YoY %,EBIDT Qtr growth YoY %,Revenue QoQ Growth %,Dividend yield 1yr %,Promoter holding latest %,Piotroski Score,Graham Number,RoA Annual %,ROCE Annual %,ROE Annual %
335,NHPC Ltd.,NHPC,Electric Utilities,70.0,57.17,32646.36,2026.62,3523.57,405.1,0.67,0.86,35.85,30.26,1.4,78.08,9.3,-2.99,-8.78,8.18,9.26,-42.55,-5.16,-34.39,-22.37,5.11,70.95,6,54.49,4.55,7.22,10.09
336,Federal Bank Ltd.,FEDERALBNK,Banks,55.0,65.33,19310.06,4170.55,1983.49,7056.52,1.0,0.99,2.35,-15.43,-18.47,106.29,6.9,-7.04,-19.6,18.35,12.72,8.85,1.14,4.93,2.28,0.76,0.0,4,140.52,0.87,5.37,10.07
337,Oberoi Realty Ltd.,OBEROIRLTY,Realty,70.0,27.5,27182.9,842.94,1047.1,-11.33,0.21,2.61,4.74,26.23,116.73,208.93,-19.01,18.09,-9.64,41.64,-19.0,-50.3,31.66,-3.39,-1.03,0.0,67.7,5,430.84,6.67,9.34,10.05
338,JM Financial Ltd.,JMFINANCIL,Holding Companies,70.0,70.5,5740.59,839.22,773.16,16.48,1.26,0.54,2.0,-24.58,-48.1,403.35,-1.58,10.2,-2.61,31.01,1.18,-17.53,16.63,-2.03,-14.95,0.83,55.42,6,142.5,2.99,11.75,10.05
339,IndusInd Bank Ltd.,INDUSINDBK,Banks,55.0,60.5,63286.53,9764.91,4804.97,40548.8,0.99,1.32,2.35,-43.69,-45.2,147.53,49.3,1.61,3.36,63.99,51.25,12.81,7.69,12.53,1.58,0.61,16.52,5,930.18,1.19,7.44,10.0
340,Grasim Industries Ltd.,GRASIM,Cement & Cement Products,70.0,67.83,88412.36,28991.25,7549.78,-2529.57,0.61,0.76,2.5,45.7,10.38,162.07,61.84,-9.01,-30.49,75.38,61.89,59.05,24.63,-9.69,18.07,0.67,42.76,6,2133.82,2.6,5.87,9.97
341,Canara Bank,CANBK,Banks,55.0,72.33,34069.37,24518.42,5884.87,3698.56,0.75,0.55,2.35,-32.57,-42.0,-54.21,45.73,1.79,117.56,111.89,60.46,15.79,0.64,10.74,1.36,3.46,62.93,4,497.24,0.48,5.51,9.96
342,Macrotech Developers Ltd.,LODHA,Realty,70.0,35.33,49520.67,3516.41,1202.37,108.7,0.22,4.07,4.74,,,,41.84,54.86,-20.73,2894.25,72.42,87.49,65.97,6.44,67.26,0.0,82.22,7,376.71,3.12,15.5,9.93
343,Route Mobile Ltd.,ROUTE,Internet Software & Services,45.0,18.67,8366.2,634.48,168.18,214.35,0.0,4.98,6.55,,,,18.15,25.61,-34.67,24.64,29.15,-1.78,42.19,31.3,11.25,0.38,59.82,4,400.4,6.24,11.41,9.93
344,JSW Energy Ltd.,JSWENERGY,Electric Utilities,80.0,42.83,36078.28,2654.61,1728.62,778.49,0.39,2.06,35.85,216.9,247.51,329.87,707.69,22.79,15.01,117.31,710.83,166.83,22.01,98.69,28.9,1.82,74.66,7,158.95,5.58,11.63,9.92
345,Welspun Corp Ltd.,WELCORP,Construction & Engineering,45.0,52.17,5936.6,2413.48,481.65,-269.06,0.32,1.31,2.88,62.5,125.47,92.88,8.0,-39.1,-72.01,-29.09,7.97,274.07,5.71,50.57,54.83,4.4,50.01,4,268.44,4.78,12.26,9.9
346,Quess Corp Ltd.,QUESS,BPO/KPO,85.0,41.67,8996.58,3796.73,241.25,-224.54,0.01,3.5,2.92,6.73,-32.41,,216.08,36.1,287.05,316.79,216.33,-12.1,26.0,356.7,2.91,1.32,51.87,7,252.32,4.49,14.06,9.89
347,Container Corporation of India Ltd.,CONCOR,Warehousing and Logistics,90.0,27.0,37791.48,2128.56,1055.12,606.15,0.01,3.48,14.1,8.84,36.76,230.69,929.27,66.92,102.09,108.88,904.52,-9.5,17.95,155.89,6.17,1.29,54.8,8,263.49,8.11,12.37,9.81
348,Tata Coffee Ltd.,TATACOFFEE,Tea & Coffee,75.0,39.33,3762.49,663.36,172.92,-161.28,0.33,1.86,2.06,143.0,57.88,118.56,-5.22,7.45,5.97,10.54,-5.12,-41.29,4.39,3.9,4.82,0.99,57.48,7,150.28,4.0,12.99,9.73
349,Escorts Kubota Ltd.,ESCORTS,Commercial Vehicles,45.0,22.83,16941.05,1941.48,736.47,-14.53,0.0,2.66,3.52,179.7,135.62,2183.17,-31.34,-15.58,-17.18,-15.49,-28.07,-1.68,3.93,-21.45,-5.33,0.49,28.1,5,850.33,8.08,13.37,9.69
350,Rallis India Ltd.,RALLIS,Agrochemicals,65.0,34.33,3666.71,515.03,164.2,0.18,0.0,2.16,5.33,31.07,-21.13,41.24,-273.81,-15.12,-114.88,-28.16,-274.75,-135.87,6.54,-83.04,-19.19,1.59,50.09,5,128.72,5.74,12.75,9.67
351,Max Healthcare Institute Ltd.,MAXHEALTH,Healthcare Facilities,65.0,20.0,35929.8,963.51,605.05,236.19,0.1,5.72,6.72,,,,68.42,133.39,6.85,539.88,77.54,-34.79,54.95,19.43,-3.63,0.0,50.64,6,95.38,6.58,10.06,9.63
352,Shipping Corporation of India Ltd.,SCI,Shipping,65.0,77.67,4576.48,1364.62,865.22,-20.68,0.24,0.5,1.21,213.9,25.96,82.45,77.72,31.81,-2.49,24.3,77.43,-51.16,33.17,51.66,-8.6,0.25,63.75,8,285.69,6.07,8.77,9.51
353,Rain Industries Ltd.,RAIN,Petrochemicals,70.0,66.5,4954.37,4453.48,651.34,-433.26,1.28,0.78,3.15,44.7,37.47,337.09,34.58,40.79,-8.85,3.94,34.51,386.14,34.8,28.04,10.2,0.68,41.14,8,287.16,3.11,11.18,9.49
354,Gujarat Alkalies & Chemicals Ltd.,GUJALKALI,Commodity Chemicals,75.0,68.0,5186.85,1148.47,559.76,314.79,0.09,0.88,4.83,33.71,82.46,470.29,536.65,175.34,113.56,237.74,536.7,9.58,52.39,239.11,6.18,1.13,46.28,6,1173.71,7.01,11.52,9.48
355,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Holding Companies,70.0,36.83,51692.49,105.35,4055.68,-72.89,0.0,1.0,2.0,28.43,120.66,500.98,16.41,6.36,1.23,11.12,16.48,6.27,5.06,-6.72,-6.39,2.8,51.09,5,6164.67,7.56,0.62,9.46
356,United Breweries Ltd.,UBL,Breweries & Distilleries,85.0,15.0,38641.48,1722.22,365.46,380.34,0.0,9.81,9.95,10.58,85.83,175.8,68.39,82.81,-9.91,222.79,68.21,79.98,36.68,29.65,-51.33,0.03,72.71,9,215.26,6.14,12.81,9.28
357,LIC Housing Finance Ltd.,LICHSGFIN,Housing Finance ,25.0,50.5,18132.83,5336.48,2285.65,-37.42,0.0,0.73,2.16,-41.65,-55.98,26.64,175.36,-5.08,20.85,-16.6,189.36,44.4,0.63,29.54,5.21,2.58,45.24,2,648.24,0.89,66.98,9.23
358,Bank of Maharashtra,MAHABANK,Banks,65.0,73.83,10634.18,3948.47,1153.42,6974.24,0.62,0.85,2.35,1.28,-42.86,-67.76,103.85,11.15,95.03,101.84,110.55,14.93,8.12,35.18,4.39,3.16,90.97,5,26.74,0.49,5.28,9.23
359,KEC International Ltd.,KEC,Heavy Electrical Equipment,35.0,25.5,10665.31,4278.17,332.08,7.46,0.11,2.95,10.16,31.16,72.32,630.37,-42.33,-20.83,-27.59,-39.92,-42.34,19.69,4.65,-30.48,27.99,1.93,51.82,2,202.28,2.03,17.9,9.17
360,Godrej Industries Ltd.,GODREJIND,Diversified,55.0,44.33,14333.44,4727.38,653.78,-51.98,0.77,1.1,1.11,-13.15,-31.24,86.19,1536.17,232.86,1903.0,95.39,1537.32,57.38,50.73,376.15,26.47,0.0,67.18,5,412.11,1.92,8.98,9.17
361,Voltas Ltd.,VOLTAS,Consumer Electronics,65.0,14.0,32299.31,2703.78,504.09,112.56,0.0,5.83,9.02,49.54,118.84,857.48,-23.12,6.27,-21.52,-4.01,-23.15,90.35,4.89,-17.69,48.67,1.08,30.3,7,239.61,5.17,14.64,9.16
362,CreditAccess Grameen Ltd.,CREDITACC,Finance (including NBFCs),55.0,21.33,15663.27,824.48,363.01,1715.22,0.0,3.84,5.04,91.66,,,178.45,31.1,34.02,170.88,104.41,31.14,11.52,51.89,19.57,0.0,73.85,4,370.18,2.08,35.5,9.12
363,Lakshmi Machine Works Ltd.,LAXMIMACH,Industrial Machinery,80.0,25.0,9544.89,1013.41,181.05,1.77,0.0,4.8,8.44,71.46,83.27,457.77,217.64,250.64,40.76,305.96,217.61,28.52,79.35,90.41,9.51,0.11,31.13,7,2665.28,4.96,10.47,9.09
364,Fortis Healthcare Ltd.,FORTIS,Healthcare Facilities,,37.5,17398.01,1384.09,555.12,207.47,0.17,2.48,6.72,77.61,39.46,130.68,57.89,164.3,1.91,605.75,57.45,-41.78,40.92,11.61,-6.04,0.0,31.17,7,123.93,4.67,7.49,8.98
365,Thermax Ltd.,THERMAX,Heavy Electrical Equipment,80.0,60.17,24154.17,2027.62,312.31,211.04,0.02,1.31,10.16,91.45,117.38,323.64,-4.51,18.63,-23.47,51.18,-4.48,29.06,27.69,-2.6,23.36,0.35,61.98,6,2199.8,4.18,11.75,8.94
366,Zee Entertainment Enterprises Ltd.,ZEEL,Broadcasting & Cable TV,85.0,38.33,20867.28,2361.17,964.56,500.7,0.0,1.92,1.77,-36.75,-55.83,52.67,-34.15,7.81,-23.63,20.55,-34.02,-39.1,6.0,-19.2,9.95,1.15,3.99,9,159.84,7.28,14.46,8.87
367,Anupam Rasayan India Ltd.,ANURAS,Agrochemicals,70.0,21.5,6344.89,316.86,152.18,224.15,0.29,3.67,5.33,,,,70.74,53.3,32.25,116.48,108.19,21.63,29.11,47.98,19.19,0.16,65.18,5,242.56,5.26,10.97,8.81
368,Gujarat Pipavav Port Ltd.,GPPL,Marine Port & Services,60.0,39.17,3538.78,227.74,197.33,-12.63,0.0,1.58,3.64,-17.57,-48.99,24.91,14.07,-2.26,-2.17,-11.09,13.82,66.88,-0.22,13.04,30.91,5.46,44.01,6,65.28,7.22,12.57,8.79
369,Kansai Nerolac Paints Ltd.,KANSAINER,Furniture-Furnishing-Paints,50.0,14.0,20274.16,1535.63,358.86,-35.0,0.0,4.88,15.89,-14.56,-10.11,305.91,-80.09,-24.78,-62.65,-32.26,-80.1,-80.68,25.08,-63.03,-15.12,0.6,74.99,4,107.44,6.28,11.52,8.68
370,Sundaram Clayton Ltd.,SUNCLAYLTD,Auto Parts & Equipment,55.0,47.0,8568.09,6915.91,440.74,-137.41,1.52,1.18,6.66,84.31,2.22,,-2.19,25.1,0.54,36.17,-2.19,28.42,25.85,10.22,-0.2,1.04,74.46,5,4197.67,1.44,13.64,8.67
371,Mahindra Lifespace Developers Ltd.,MAHLIFE,Realty,60.0,22.67,6306.51,155.02,154.33,22.56,0.03,3.43,4.74,209.87,187.94,279.88,268.3,4.3,66.7,315.35,602.28,450.36,117.36,255.66,564.59,0.0,51.33,4,163.48,5.08,-4.26,8.63
372,NCC Ltd.,NCC,Construction & Engineering,80.0,81.33,3338.91,3491.76,486.39,77.2,0.02,0.57,2.88,-46.24,-38.21,36.36,106.77,11.39,-28.53,79.8,104.42,216.84,38.97,43.2,15.34,1.46,19.68,7,131.72,3.33,14.88,8.61
373,Bank of Baroda,BANKBARODA,Banks,60.0,79.67,52515.18,22470.46,7967.45,1567.47,1.19,0.57,2.35,-16.35,-34.42,-29.22,347.17,-4.89,369.89,407.2,379.92,-15.83,-1.37,-6.78,2.01,2.81,63.97,5,247.71,0.58,4.93,8.54
374,HDFC Life Insurance Company Ltd.,HDFCLIFE,Life Insurance,40.0,19.0,119595.0,17856.0,1326.93,4118.74,0.04,7.66,24.21,24.34,,,56.96,-45.54,791.87,-2.49,58.65,83.88,-5.61,27.06,22.34,0.66,51.53,4,102.19,0.57,0.64,8.5
375,PNB Housing Finance Ltd.,PNBHOUSING,Housing Finance ,55.0,69.67,5585.67,1425.83,836.48,-1545.76,0.0,0.57,2.16,-57.51,-77.81,,33.25,-18.1,11.13,-10.05,33.46,-10.03,-18.67,-13.63,-4.68,0.0,32.57,5,808.45,1.27,50.53,8.47
376,ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,Life Insurance,35.0,17.67,70529.89,13038.14,759.21,696.25,0.13,7.73,24.21,31.38,11.51,,195.45,-370.21,235.45,-20.6,198.96,-40.1,-23.88,83.13,30.95,0.11,73.41,3,86.87,0.31,0.46,8.31
377,General Insurance Corporation of India,GICRE,General Insurance,65.0,75.0,20324.72,10932.4,2386.28,2830.41,0.0,0.71,3.87,-44.03,,,45.84,9.69,55.99,19.82,45.69,1265.32,-2.59,86.24,-5.01,1.94,85.78,8,224.25,1.57,3.73,8.27
378,Rajesh Exports Ltd.,RAJESHEXPO,Other Apparels & Accessories,60.0,47.5,17417.39,85844.77,1014.84,-10606.49,0.0,1.4,18.65,-17.74,-14.81,348.76,-52.67,-3.11,-67.56,19.38,-52.68,-53.85,-5.86,-45.21,31.65,0.17,54.05,5,570.93,4.21,8.28,8.1
379,Union Bank of India,UNIONBANK,Banks,70.0,89.0,23921.62,19353.85,5265.32,34994.88,0.78,0.36,2.35,-54.9,-75.44,-83.14,16.16,-2.37,4034.65,83.88,22.68,44.52,-1.75,9.95,-0.26,5.43,83.49,6,129.38,0.44,5.37,7.97
380,Engineers India Ltd.,ENGINERSIN,Consulting Services,65.0,37.5,3257.04,860.8,139.52,43.31,0.0,1.84,7.75,-52.6,-62.46,-47.71,213.33,-1.64,-11.37,-43.95,217.44,94.59,-8.71,172.81,18.16,4.49,51.32,7,41.94,3.33,25.24,7.88
381,Great Eastern Shipping Company Ltd.,GESHIP,Shipping,65.0,62.83,5603.83,983.0,629.68,155.71,0.49,0.7,1.21,48.28,-1.36,59.69,291.59,-8.52,33.56,-31.45,285.57,-7.95,3.24,54.96,-2.39,4.82,30.06,6,748.08,4.5,7.9,7.82
382,Jubilant Pharmova Ltd.,JUBLPHARMA,Pharmaceuticals,55.0,56.67,5527.05,1524.57,413.94,-664.14,0.46,1.04,6.18,-29.76,-47.94,97.44,-72.15,-22.28,-34.77,-50.48,-72.16,16.79,0.41,-40.67,15.56,1.44,50.68,5,442.0,4.14,9.35,7.78
383,Reliance Industries Ltd.,RELIANCE,Refineries/Petro-Products,55.0,31.0,1710105.75,214344.0,60705.0,-13547.0,0.24,1.92,1.85,98.38,251.76,599.71,16.72,36.81,-1.81,23.56,22.5,-12.65,52.42,23.51,10.78,0.0,50.66,4,1628.86,4.04,8.02,7.78
384,Tata Power Company Ltd.,TATAPOWER,Electric Utilities,50.0,36.5,66670.76,12219.36,1741.46,-767.04,1.46,2.56,35.85,203.93,157.27,113.23,43.64,8.42,9.45,54.47,28.04,18.15,32.91,14.37,9.59,0.84,46.86,6,99.93,1.54,7.22,7.75
385,NLC India Ltd.,NLCINDIA,Electric Utilities,70.0,68.33,9068.6,3165.36,1095.71,140.38,1.33,0.55,35.85,0.62,-34.11,-18.91,-56.23,48.32,15.76,-16.8,-56.01,43.27,6.34,-33.54,12.96,4.59,79.2,8,144.9,2.19,6.98,7.7
386,Biocon Ltd.,BIOCON,Biotechnology,65.0,17.67,37932.96,2476.1,648.4,99.0,0.47,4.01,3.87,27.22,95.66,722.36,-6.1,19.22,3.67,-12.44,-5.77,27.53,14.08,-5.4,10.79,0.0,60.64,6,97.9,3.17,8.26,7.68
387,Gujarat State Fertilizer & Chemicals Ltd.,GSFC,Fertilizers,80.0,82.33,5632.48,2099.4,898.58,200.94,0.0,0.48,5.26,57.32,22.7,71.75,90.69,130.86,146.11,99.63,90.64,16.34,18.53,125.59,-23.78,1.56,37.84,7,387.17,6.36,10.37,7.63
388,Mahindra CIE Automotive Ltd.,MAHINDCIE,Auto Parts & Equipment,70.0,61.33,9171.25,2599.1,544.18,-66.6,0.13,1.76,6.66,4.65,5.17,377.59,1477.78,102.81,-12.44,269.27,1499.26,101.22,38.29,0.48,25.4,1.03,72.17,7,210.39,3.94,10.7,7.56
389,SJVN Ltd.,SJVN,Electric Utilities,50.0,54.33,10610.45,393.85,989.8,-266.91,0.47,0.81,35.85,9.76,-14.56,41.36,-98.73,-4.03,-15.24,-39.85,-98.79,-96.82,-18.25,-78.17,-41.17,5.74,86.77,4,43.58,4.25,7.46,7.51
390,Indian Overseas Bank,IOB,Banks,70.0,53.67,31945.08,5718.68,1709.54,6715.68,0.13,1.39,2.35,44.44,-31.85,-79.8,38.1,-3.29,136.29,105.6,57.93,21.64,-3.96,6.91,0.4,0.0,96.38,6,15.73,0.57,5.61,7.43
391,Bajaj Electricals Ltd.,BAJAJELEC,Household Appliances,70.0,19.67,10817.12,1355.34,128.53,-56.02,0.01,6.34,6.46,79.19,190.02,380.92,-32.6,-17.49,-18.02,-32.55,-27.93,-18.38,4.89,-19.78,1.1,0.0,62.98,6,193.35,3.21,13.59,7.42
392,Punjab & Sind Bank,PSB,Banks,60.0,58.67,9692.23,2007.9,1039.05,-2051.22,0.17,0.69,2.35,-45.52,-71.77,-79.08,-49.1,5.76,159.15,138.02,115.25,15.05,2.27,20.21,-4.16,0.0,98.25,4,26.7,0.85,4.87,7.41
393,Multi Commodity Exchange of India Ltd.,MCX,Exchange,40.0,13.0,6495.92,121.04,143.45,-377.1,0.0,3.34,13.03,52.88,19.84,23.73,-4.9,-12.4,9.6,-36.31,-4.97,6.01,-12.35,-14.98,18.88,2.17,0.0,4,491.13,5.12,10.25,7.38
394,Dalmia Bharat Ltd.,DALBHARAT,Cement & Cement Products,55.0,39.5,24402.9,3433.0,1129.0,-53.0,0.12,1.51,2.5,21.75,,,-4.93,-12.9,-15.02,-7.07,-5.1,477.67,6.89,-9.65,23.76,0.79,55.9,6,1088.41,4.59,6.71,7.29
395,Kalyan Jewellers India Ltd.,KALYANKJIL,Other Apparels & Accessories,70.0,42.17,6226.67,2868.52,224.28,203.99,0.01,1.98,18.65,,,,-19.54,37.05,2.64,3656.61,-2.55,-46.26,25.96,-4.2,-16.83,0.0,60.54,7,38.63,2.5,16.5,7.14
396,Indiabulls Housing Finance Ltd.,IBULHSGFIN,Housing Finance ,70.0,76.83,4791.14,2191.13,1177.75,-440.43,1.7,0.27,2.16,-83.7,-90.53,,10.97,-7.43,8.9,-1.98,11.05,1.25,-10.33,-1.95,-3.74,0.0,9.66,7,471.78,1.43,16.98,7.06
397,Bank of India,BANKINDIA,Banks,50.0,69.83,18425.01,11553.31,3491.98,-34984.73,0.54,0.37,2.35,-49.21,-66.38,-86.96,572.0,-12.39,1093.93,67.69,727.59,-30.91,-4.26,2.25,5.09,0.0,81.41,3,151.99,0.46,4.78,7.04
398,Maruti Suzuki India Ltd.,MARUTI,Cars & Utility Vehicles,65.0,18.5,256456.94,27191.9,3879.5,20.0,0.0,4.63,3.74,30.88,18.19,656.86,51.13,6.63,9.41,-11.61,51.14,80.05,22.87,37.77,15.03,0.53,56.37,6,2301.26,5.19,8.08,7.01
399,Prism Johnson Ltd.,PRSMJOHNSN,Cement & Cement Products,55.0,31.17,5282.73,1866.74,91.77,-88.99,0.89,3.31,2.5,15.14,-11.55,125.46,-82.12,-15.86,-42.14,-46.41,-82.2,212.9,12.81,-41.32,13.28,0.0,74.87,5,36.06,1.42,6.92,6.93
400,Tata Chemicals Ltd.,TATACHEM,Commodity Chemicals,80.0,58.5,20761.36,3586.91,1257.62,52.94,0.2,1.08,4.83,27.08,37.56,166.37,3639.13,53.58,76.1,390.55,3622.77,41.19,23.42,112.77,10.79,1.53,37.98,7,913.58,3.71,6.55,6.88
401,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Pharmaceuticals,75.0,17.83,198808.9,9560.35,3232.6,726.11,0.0,3.89,6.18,105.71,52.3,166.02,-356.76,22.45,3.08,12.7,-354.68,-210.61,15.27,-199.67,-4.22,1.09,54.48,9,254.01,4.68,17.44,6.81
402,Medplus Health Services Ltd.,MEDPLUS,Healthcare Supplies,,2.17,9120.32,978.96,,-37.28,0.0,6.43,6.25,,,,,25.71,,50.02,,-31.72,23.29,,3.48,0.0,40.43,4,,3.69,9.05,6.75
403,Bombay Burmah Trading Corporation Ltd.,BBTC,Tea & Coffee,65.0,58.67,6418.67,3720.71,379.77,435.08,0.21,0.88,2.06,-0.52,4.44,725.22,-30.12,37.85,-10.39,-38.23,-30.14,-73.38,12.45,-4.86,-0.97,0.13,65.93,6,1129.38,2.97,29.71,6.74
404,ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,Auto Parts & Equipment,75.0,11.67,13927.62,791.12,142.07,96.05,0.0,6.59,6.66,19.68,31.12,378.16,18.84,22.73,-2.81,36.87,18.83,77.8,35.67,9.03,19.77,0.15,75.0,6,1370.56,5.38,9.24,6.72
405,Mahindra & Mahindra Financial Services Ltd.,M&MFIN,Finance (including NBFCs),60.0,53.33,22270.92,2897.44,1136.87,25.93,0.0,1.3,5.04,-54.94,-45.71,41.84,187.5,-0.56,38.02,47.03,188.33,-36.8,-6.33,30.63,-3.67,0.44,52.16,6,169.31,1.35,33.79,6.72
406,Equitas Small Finance Bank Ltd.,EQUITASBNK,Banks,35.0,41.33,4956.52,1043.98,280.73,-1246.2,0.62,1.17,2.35,,,,1.01,-5.7,73.57,-26.94,5.88,10.55,10.65,-3.54,-0.56,0.0,74.59,3,41.36,1.04,8.88,6.61
407,Birla Corporation Ltd.,BIRLACORPN,Cement & Cement Products,70.0,52.5,6788.79,2333.54,398.59,45.05,0.63,1.12,2.5,49.31,1.48,287.69,-55.47,-17.01,-33.52,-36.75,-55.45,83.76,9.8,-11.53,29.38,1.13,62.9,7,956.41,2.87,6.92,6.58
408,Max Financial Services Ltd.,MFSL,Life Insurance,30.0,29.33,28145.84,8962.31,253.36,-51.44,0.0,6.28,24.21,93.88,32.46,322.46,60.09,-29.51,157.15,-40.44,88.77,57.2,-0.32,138.01,28.84,0.0,14.72,5,146.52,0.21,7.75,6.43
409,Bharti Airtel Ltd.,BHARTIARTL,Telecom Services,75.0,27.5,380769.61,31518.9,4254.9,-3593.7,1.71,4.14,4.14,95.37,83.38,123.44,158.27,26.81,6.32,128.21,164.46,142.02,15.63,31.96,5.47,0.0,55.93,7,167.83,1.17,10.0,6.39
410,Zydus Wellness Ltd.,ZYDUSWELL,Packaged Foods,80.0,33.5,9981.97,641.74,308.87,59.89,0.01,2.06,44.45,15.82,88.0,300.33,0.14,0.11,-7.84,160.14,0.13,472.1,7.67,-2.51,64.85,0.32,64.82,6,911.84,5.42,6.73,6.37
411,Amber Enterprises India Ltd.,AMBER,Consumer Electronics,60.0,21.5,7691.77,1946.07,109.19,109.95,0.19,4.34,9.02,177.75,,,-24.16,25.01,-26.76,33.83,-24.17,78.15,38.39,-10.01,98.78,0.0,40.27,5,619.41,2.22,8.78,6.29
412,Mahindra Logistics Ltd.,MAHLOG,Transportation - Logistics,70.0,27.5,3357.96,1078.37,36.31,98.24,0.0,5.68,8.78,-2.81,,,-3.41,47.27,8.11,23.57,-2.78,114.94,24.81,26.2,-4.04,0.54,58.18,7,96.65,1.91,8.61,6.27
413,Tata Consumer Products Ltd.,TATACONSUM,Packaged Foods,75.0,15.33,67904.54,3222.8,935.78,-800.8,0.02,4.17,44.45,169.12,400.07,528.98,306.9,11.34,41.57,9.23,303.6,-17.92,7.18,69.42,-1.03,0.82,34.72,8,200.84,4.43,8.8,6.18
414,Sequent Scientific Ltd.,SEQUENT,Pharmaceuticals,60.0,24.17,2436.97,387.48,41.25,-14.35,0.18,3.28,6.18,44.85,-17.17,,-57.14,-48.41,-27.35,-56.78,-56.56,-47.64,3.92,-17.28,7.17,0.51,53.02,5,33.38,2.86,7.44,5.95
415,IDBI Bank Ltd.,IDBI,Banks,70.0,60.17,33601.26,5532.94,2555.6,4813.15,0.34,0.79,2.35,-12.83,-43.34,-66.2,16.95,-16.65,-51.72,67.35,16.79,17.88,-6.31,2.11,-0.43,0.0,94.71,7,46.08,0.83,5.77,5.93
416,Bata India Ltd.,BATAINDIA,Footwear,85.0,10.67,22009.69,684.0,102.99,39.28,0.0,12.13,13.59,18.32,223.07,299.87,113.97,158.04,28.23,215.32,113.62,-12.94,35.57,42.99,-20.93,0.23,52.96,8,159.55,2.92,8.58,5.67
417,TeamLease Services Ltd.,TEAMLEASE,Misc. Commercial Services,55.0,21.83,5384.98,1822.07,38.43,246.66,0.0,7.63,4.33,7.15,136.3,,63.2,44.53,15.91,-50.42,63.19,2.99,32.21,30.96,3.14,0.0,31.51,7,456.92,2.49,14.29,5.54
418,BEML Ltd.,BEML,Commercial Vehicles,75.0,29.5,5277.19,1684.94,128.61,-526.24,0.0,2.24,3.52,40.03,-14.6,233.78,-15.19,124.95,38.14,86.92,-15.43,69.99,20.08,11.54,48.58,0.49,54.03,7,627.03,2.25,6.76,5.46
419,Apollo Tyres Ltd.,APOLLOTYRE,Auto Tyres & Rubber Products,50.0,54.33,11997.06,5615.49,638.6,-118.12,0.38,1.02,3.63,-6.9,-22.34,137.46,-60.4,-7.98,-30.73,82.35,-60.51,-49.25,20.22,-24.19,-2.26,3.57,37.34,6,204.61,2.39,6.74,5.43
420,Piramal Enterprises Ltd.,PEL,Finance (including NBFCs),50.0,47.83,40288.82,4401.03,1923.11,2963.87,1.23,1.09,5.04,-13.04,-39.82,223.64,119.05,-13.59,-45.94,44.34,119.16,-87.2,11.69,-27.18,9.09,1.95,43.49,4,1672.91,1.92,8.01,5.41
421,L&T Finance Holdings Ltd.,L&TFH,Holding Companies,70.0,57.33,17373.83,3067.16,1070.11,-2028.49,2.3,0.86,2.0,-39.53,-48.59,63.26,17.8,-18.02,-8.53,10.21,28.25,4.98,-12.48,-19.55,-0.81,0.0,66.26,5,88.98,1.0,10.51,5.36
422,MRF Ltd.,MRF,Auto Tyres & Rubber Products,75.0,34.5,30649.86,5370.83,669.24,-1011.32,0.06,2.18,3.63,27.9,5.37,614.36,-50.26,-30.33,-36.01,-47.6,-50.26,10.59,19.91,-26.45,7.82,0.21,27.95,7,34282.67,2.9,7.21,4.76
423,Sobha Ltd.,SOBHA,Realty,80.0,39.0,5069.04,766.8,116.8,96.23,0.29,2.02,4.74,-1.97,43.05,51.94,39.68,23.99,3.27,87.55,39.66,-23.55,28.82,29.48,9.44,0.65,51.99,8,270.95,1.02,27.72,4.65
424,ITI Ltd.,ITI,Telecom Equipment,65.0,24.33,9748.09,1367.04,119.7,-11.84,0.11,3.69,4.56,12.38,19.79,370.45,76.39,112.31,22.12,1175.03,78.34,484.47,-16.18,73.32,731.27,0.0,0.0,6,28.46,1.24,10.16,4.56
425,Torrent Power Ltd.,TORNTPOWER,Electric Utilities,60.0,33.17,22843.72,3840.59,453.98,16.12,0.71,2.29,35.85,66.04,172.38,165.6,-222.88,3.63,-10.75,-64.83,-222.95,-232.59,17.69,-122.43,-0.63,1.89,53.57,5,210.06,1.81,13.2,4.56
426,Equitas Holdings Ltd.,EQUITAS,Holding Companies,35.0,60.67,2891.54,1053.19,153.53,846.66,0.0,0.65,2.0,-29.73,-43.95,,6.25,-11.71,-32.71,-67.63,-9.5,171.57,5.87,-29.22,-0.12,0.0,0.0,5,114.82,0.55,39.47,4.49
