,Stock,Stock code,Industry,Trendlyne Durability Score,Trendlyne Valuation Score,MCAP Cr,Total Revenue Qtr cr,Net profit TTM Cr,Net Cash Flow Annual Cr,Long Term Debt To Equity Annual,Price to Book,Industry Price to Book TTM,3Yr price change %,5Yr price change %,10Yr price change %,EPS Qtr YoY Growth %,Operating Profit Annual YoY Growth %,Operating Profit Qtr Margin Growth YoY %,Net Profit Annual YoY Growth %,Net Profit Qtr Growth YoY %,Net Profit QoQ Growth %,Revenue Growth Annual YoY %,EBIDT Qtr growth YoY %,Revenue QoQ Growth %,Dividend yield 1yr %,Promoter holding latest %,Piotroski Score,Graham Number,RoA Annual %,ROCE Annual %,ROE Annual %
277,Aptus Value Housing Finance India Ltd.,APTUS,Housing Finance ,60.0,16.5,13213.05,234.34,370.14,-61.29,0.0,4.53,2.16,,,,41.37,24.32,-0.14,38.66,45.42,8.27,28.23,29.0,7.13,0.0,62.35,4,99.17,6.51,23.52,12.69
278,Ircon International Ltd.,IRCON,Construction & Engineering,60.0,76.83,3418.77,3010.71,592.34,-90.7,0.28,0.73,2.88,-6.51,,,41.99,18.14,-26.08,51.47,41.92,78.47,37.34,-22.58,67.58,9.77,73.18,5,83.85,4.1,10.37,12.69
279,NBCC (India) Ltd.,NBCC,Construction & Engineering,65.0,38.67,5274.0,2496.44,226.27,567.89,0.0,2.72,2.88,-51.81,-71.01,372.58,-54.55,71.1,4.86,1.14,-55.56,-57.39,12.44,-51.98,21.5,1.6,61.75,8,17.45,1.66,16.51,12.68
280,Aavas Financiers Ltd.,AAVAS,Housing Finance ,40.0,13.17,15285.63,365.31,355.18,-328.5,0.0,5.44,2.16,28.61,,,31.45,14.89,2.69,22.93,32.04,30.09,18.1,28.5,6.57,0.0,39.2,2,599.95,3.22,32.53,12.65
281,Prestige Estates Projects Ltd.,PRESTIGE,Realty,60.0,44.33,16110.63,2489.6,1165.8,1698.9,0.44,1.69,4.74,44.33,65.77,246.17,-29.7,-22.24,-14.25,-21.03,-29.71,906.75,-12.02,-33.89,74.24,0.37,65.48,5,394.73,3.77,8.74,12.64
282,Latent View Analytics Ltd.,LATENTVIEW,Data Processing Services,55.0,11.0,6838.4,125.36,129.51,61.81,0.0,6.66,6.58,,,,28.78,16.53,-14.13,41.6,49.59,-28.75,31.25,33.39,9.0,0.0,67.21,4,86.29,11.77,12.82,12.61
283,Kalpataru Power Transmissions Ltd.,KALPATPOWR,Electric Utilities,50.0,59.67,5375.62,4169.0,540.0,42.07,0.36,1.23,35.85,-30.34,10.77,353.23,-38.44,-22.58,-34.41,-19.53,-38.51,-60.37,14.21,-28.96,6.33,0.42,51.58,6,488.44,3.13,11.81,12.61
284,Housing Development Finance Corporation Ltd.,HDFC,Housing Finance ,55.0,32.0,395708.65,35059.75,22594.69,-373.6,2.02,2.05,2.16,-0.67,32.09,238.33,20.11,0.37,12.12,20.57,20.72,10.65,-2.23,9.92,11.98,1.38,0.0,4,1726.06,2.33,8.32,12.56
285,State Bank of India,SBIN,Banks,55.0,58.67,414325.09,108034.68,36159.36,50231.82,1.59,1.47,2.35,28.19,66.01,119.67,55.98,-9.21,26.51,57.88,55.89,-7.65,5.61,11.97,1.68,1.53,57.59,6,536.91,0.65,4.79,12.53
286,Kotak Mahindra Bank Ltd.,KOTAKBANK,Banks,50.0,21.67,331281.35,16794.19,12089.39,-16307.05,0.57,3.43,2.35,12.63,71.2,484.83,50.82,-46.58,19.28,21.01,50.3,14.37,3.64,26.92,2.45,0.05,25.98,3,817.04,2.21,5.51,12.5
